Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_18_657.jpg;5.262298;0;0;0.01573805;99.70295;85.60249;359.7511;46.53213;0.1403565
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_18_699.jpg;3.28041;0;0;0.0147215;99.70316;85.60263;359.7351;46.92489;0.1472261
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_18_747.jpg;1.419614;0;0;0.01400004;99.70358;85.603;359.7213;47.17945;0.151846
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_18_789.jpg;0;0;0;0.0132026;99.70392;85.60332;359.7181;47.17936;0.1520598
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_18_836.jpg;0;0;0;0.01299161;99.70393;85.60333;359.7083;47.17937;0.1504091
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_18_917.jpg;0;0.1392781;0;0;99.70486;85.60432;359.7268;47.29511;0.143356
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_18_962.jpg;0;0.3814459;0;0.01386546;99.70651;85.60609;359.7755;47.19717;0.1343163
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_19_009.jpg;0;0.5207704;0;0.02852784;99.70822;85.60794;359.8282;47.15341;0.1275438
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_19_057.jpg;0;0.6622985;0;0.03946506;99.71114;85.61108;359.9189;47.0943;0.1199086
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_19_104.jpg;0;0.8064191;0;0.08186362;99.71682;85.6172;0.0895675;47.22972;0.1074324
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_19_151.jpg;0;0.9484192;0;0.09247693;99.72247;85.62331;0.2562445;47.37526;0.09803545
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_19_198.jpg;0;1;0;0.1468851;99.73289;85.63422;0.528484;47.39392;0.06385984
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_19_244.jpg;0;1;0;0.1918035;99.74154;85.64339;0.7365049;47.4623;0.02675862
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_19_290.jpg;0;1;0;0.2288656;99.75057;85.65298;0.9319574;47.3087;359.9862
